Date,NIFTY
2015-12-18,7761.950195
2015-12-21,7834.450195
2015-12-22,7786.100098
2015-12-23,7865.950195
2015-12-24,7861.049805
2015-12-28,7925.149902
2015-12-29,7928.950195
2015-12-30,7896.25
2015-12-31,7946.350098
2016-01-04,7791.299805
2016-01-05,7784.649902
2016-01-06,7741
2016-01-07,7568.299805
2016-01-08,7601.350098
2016-01-11,7563.850098
2016-01-12,7510.299805
2016-01-13,7562.399902
2016-01-14,7536.799805
2016-01-15,7437.799805
2016-01-18,7351
2016-01-19,7435.100098
2016-01-20,7309.299805
2016-01-21,7276.799805
2016-01-22,7422.450195
2016-01-25,7436.149902
2016-01-27,7437.75
2016-01-28,7424.649902
2016-01-29,7563.549805
2016-02-01,7555.950195
2016-02-02,7455.549805
2016-02-03,7361.799805
2016-02-04,7404
2016-02-05,7489.100098
2016-02-08,7387.25
2016-02-09,7298.200195
2016-02-10,7215.700195
2016-02-11,6976.350098
2016-02-12,6980.950195
2016-02-15,7162.950195
2016-02-16,7048.25
2016-02-17,7108.450195
2016-02-18,7191.75
2016-02-19,7210.75
2016-02-22,7234.549805
2016-02-23,7109.549805
2016-02-24,7018.700195
2016-02-25,6970.600098
2016-02-26,7029.75
2016-02-29,6987.049805
2016-03-01,7222.299805
2016-03-02,7368.850098
2016-03-03,7475.600098
2016-03-04,7485.350098
2016-03-08,7485.299805
2016-03-09,7531.799805
2016-03-10,7486.149902
2016-03-11,7510.200195
2016-03-14,7538.75
2016-03-15,7460.600098
2016-03-16,7498.75
2016-03-17,7512.549805
2016-03-18,7604.350098
2016-03-21,7704.25
2016-03-22,7714.899902
2016-03-23,7716.5
2016-03-28,7615.100098
2016-03-29,7597
2016-03-30,7735.200195
2016-03-31,7738.399902
2016-04-01,7713.049805
2016-04-04,7758.799805
2016-04-05,7603.200195
2016-04-06,7614.350098
2016-04-07,7546.450195
2016-04-08,7555.200195
2016-04-11,7671.399902
2016-04-12,7708.950195
2016-04-13,7850.450195
2016-04-18,7914.700195
2016-04-20,7914.75
2016-04-21,7912.049805
2016-04-22,7899.299805
2016-04-25,7855.049805
2016-04-26,7962.649902
2016-04-27,7979.899902
2016-04-28,7847.25
2016-04-29,7849.799805
2016-05-02,7805.899902
2016-05-03,7747
2016-05-04,7706.549805
2016-05-05,7735.5
2016-05-06,7733.450195
2016-05-09,7866.049805
2016-05-10,7887.799805
2016-05-11,7848.850098
2016-05-12,7900.399902
2016-05-13,7814.899902
2016-05-16,7860.75
2016-05-17,7890.75
2016-05-18,7870.149902
2016-05-19,7783.399902
2016-05-20,7749.700195
2016-05-23,7731.049805
2016-05-24,7748.850098
2016-05-25,7934.899902
2016-05-26,8069.649902
2016-05-27,8156.649902
2016-05-30,8178.5
2016-05-31,8160.100098
2016-06-01,8179.950195
2016-06-02,8218.950195
2016-06-03,8220.799805
2016-06-06,8201.049805
2016-06-07,8266.450195
2016-06-08,8273.049805
2016-06-09,8203.599609
2016-06-10,8170.049805
2016-06-13,8110.600098
2016-06-14,8108.850098
2016-06-15,8206.599609
2016-06-16,8140.75
2016-06-17,8170.200195
2016-06-20,8238.5
2016-06-21,8219.900391
2016-06-22,8203.700195
2016-06-23,8270.450195
2016-06-24,8088.600098
2016-06-27,8094.700195
2016-06-28,8127.850098
2016-06-29,8204
2016-06-30,8287.75
2016-07-01,8328.349609
2016-07-04,8370.700195
2016-07-05,8335.950195
2016-07-07,8337.900391
2016-07-08,8323.200195
2016-07-11,8467.900391
2016-07-12,8521.049805
2016-07-13,8519.5
2016-07-14,8565
2016-07-15,8541.400391
2016-07-18,8508.700195
2016-07-19,8528.549805
2016-07-20,8565.849609
2016-07-21,8510.099609
2016-07-22,8541.200195
2016-07-25,8635.650391
2016-07-26,8590.650391
2016-07-27,8615.799805
2016-07-28,8666.299805
2016-07-29,8638.5
2016-08-01,8636.549805
2016-08-02,8622.900391
2016-08-03,8544.849609
2016-08-04,8551.099609
2016-08-05,8683.150391
2016-08-08,8711.349609
2016-08-09,8678.25
2016-08-10,8575.299805
2016-08-11,8592.150391
2016-08-16,8642.549805
2016-08-17,8624.049805
2016-08-18,8673.25
2016-08-19,8666.900391
2016-08-22,8629.150391
2016-08-23,8632.599609
2016-08-24,8650.299805
2016-08-25,8592.200195
2016-08-26,8572.549805
2016-08-29,8607.450195
2016-08-30,8744.349609
2016-08-31,8786.200195
2016-09-01,8774.650391
2016-09-02,8809.650391
2016-09-06,8943
2016-09-07,8917.950195
2016-09-08,8952.5
2016-09-09,8866.700195
2016-09-12,8715.599609
2016-09-14,8726.599609
2016-09-15,8742.549805
2016-09-16,8779.849609
2016-09-19,8808.400391
2016-09-20,8775.900391
2016-09-21,8777.150391
2016-09-22,8867.450195
2016-09-23,8831.549805
2016-09-26,8723.049805
2016-09-27,8706.400391
2016-09-28,8745.150391
2016-09-29,8591.25
2016-09-30,8611.150391
2016-10-03,8738.099609
2016-10-04,8769.150391
2016-10-05,8743.950195
2016-10-06,8709.549805
2016-10-07,8697.599609
2016-10-10,8708.799805
2016-10-13,8573.349609
2016-10-14,8583.400391
2016-10-17,8520.400391
2016-10-18,8677.900391
2016-10-19,8659.099609
2016-10-20,8699.400391
2016-10-21,8693.049805
2016-10-24,8708.950195
2016-10-25,8691.299805
2016-10-26,8615.25
2016-10-27,8615.25
