Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-04-18,EQ,1509.8,1518.85,1491.05,1509.25,1496.8,1494.7,1503.85,1757.5,1363.55,17117442,25741997797.45,400151
2024-04-19,EQ,1486.55,1534.95,1480.25,1494.7,1534.2,1531.3,1514.56,1757.5,1363.55,17288217,26184017914.35,385294
2024-04-22,EQ,1557.4,1557.4,1508.3,1531.3,1514.35,1512.2,1519.66,1757.5,1363.55,21149219,32139720597.85,531868
2024-04-23,EQ,1526.3,1526.5,1503.25,1512.2,1507.5,1507.6,1510.64,1757.5,1363.55,13413530,20262998928.7,292429
2024-04-24,EQ,1515.0,1521.75,1509.05,1507.6,1512.9,1511.7,1514.5,1757.5,1363.55,11220790,16993856319.65,270693
2024-04-25,EQ,1506.25,1519.7,1506.25,1511.7,1513.8,1510.75,1512.64,1757.5,1363.55,17722602,26807994509.45,412279
2024-04-26,EQ,1519.8,1528.0,1505.55,1510.75,1511.0,1509.8,1515.19,1757.5,1363.55,12427347,18829791289.85,307546
2024-04-29,EQ,1515.0,1534.45,1506.55,1509.8,1528.55,1529.5,1521.15,1757.5,1363.55,18046675,27451636250.7,346924
2024-04-30,EQ,1529.2,1539.5,1514.9,1529.5,1515.45,1520.1,1528.27,1757.5,1363.55,26153691,39969810062.5,396483
2024-05-02,EQ,1522.0,1537.0,1520.35,1520.1,1532.9,1532.25,1531.6,1757.5,1363.55,16737503,25635147567.95,367994
2024-05-03,EQ,1533.25,1540.6,1507.2,1532.25,1515.65,1519.6,1521.12,1757.5,1363.55,15932621,24235495414.8,309946
2024-05-06,EQ,1522.0,1534.5,1517.15,1519.6,1523.75,1522.65,1525.73,1757.5,1363.55,14396698,21965419859.1,290222
2024-05-07,EQ,1521.95,1524.05,1504.15,1522.65,1505.1,1506.15,1510.7,1757.5,1363.55,14240301,21512820634.1,344750
2024-05-08,EQ,1495.95,1496.95,1480.35,1506.15,1483.5,1482.65,1486.59,1757.5,1363.55,20843931,30986422880.6,465848
2024-05-09,EQ,1474.95,1486.75,1445.3,1482.65,1450.8,1447.5,1461.55,1757.5,1363.55,23140639,33821148758.2,669580
2024-05-10,EQ,1439.0,1451.95,1426.8,1447.5,1439.85,1437.9,1440.93,1757.5,1363.55,13638304,19651868794.15,368755
2024-05-13,EQ,1432.0,1459.8,1430.3,1437.9,1456.5,1455.25,1447.14,1757.5,1363.55,13523601,19570507197.6,463000
2024-05-14,EQ,1452.25,1465.5,1450.3,1455.25,1461.6,1460.95,1459.59,1757.5,1363.55,12832571,18730307625.4,315935
2024-05-15,EQ,1459.7,1459.7,1435.8,1460.95,1440.8,1438.5,1443.04,1757.5,1363.55,19465998,28090223298.3,393567
2024-05-16,EQ,1446.05,1462.55,1435.5,1438.5,1459.75,1460.25,1449.96,1757.5,1363.55,17472618,25334516598.7,382855
2024-05-17,EQ,1446.2,1468.0,1446.2,1460.25,1463.0,1464.1,1461.22,1757.5,1363.55,10460095,15284549919.5,268477
2024-05-18,EQ,1466.0,1467.1,1463.05,1464.1,1466.35,1466.05,1465.57,1757.5,1363.55,528557,774636045.3,15995
2024-05-21,EQ,1450.1,1469.7,1450.1,1466.05,1457.2,1458.8,1460.08,1757.5,1363.55,21884989,31953790444.8,413346
2024-05-22,EQ,1457.85,1465.6,1448.15,1458.8,1463.75,1459.2,1456.24,1757.5,1363.55,19998139,29122160427.5,394368
2024-05-23,EQ,1458.65,1495.65,1457.05,1459.2,1492.85,1492.6,1477.1,1757.5,1363.55,20430960,30178506688.95,337200
2024-05-24,EQ,1487.5,1519.9,1486.0,1492.6,1516.5,1517.2,1507.33,1757.5,1363.55,15530103,23408982967.8,325557
2024-05-27,EQ,1523.35,1545.0,1519.05,1517.2,1528.0,1527.7,1533.69,1757.5,1363.55,14692720,22534043945.55,360983
2024-05-28,EQ,1530.1,1536.05,1524.8,1527.7,1528.6,1530.5,1531.14,1757.5,1363.55,13954452,21366245980.65,287323
2024-05-29,EQ,1518.0,1523.85,1501.25,1530.5,1506.0,1508.3,1510.22,1757.5,1363.55,17573853,26540404866.5,324703
2024-05-30,EQ,1499.2,1523.6,1497.65,1508.3,1518.3,1514.85,1513.96,1757.5,1363.55,16877675,25552206595.8,409393
2024-05-31,EQ,1519.0,1536.0,1514.0,1514.85,1525.95,1531.55,1528.77,1757.5,1363.55,37039794,56625243621.65,474591
2024-06-03,EQ,1599.0,1599.0,1550.0,1531.55,1573.0,1572.2,1567.87,1757.5,1363.55,36318628,56942988275.8,584235
2024-06-04,EQ,1557.0,1559.0,1454.0,1572.2,1489.75,1483.15,1504.91,1757.5,1363.55,44765620,67368418218.55,786620
2024-06-05,EQ,1494.05,1559.6,1482.35,1483.15,1545.85,1551.8,1523.83,1757.5,1363.55,40815825,62196352485.4,650501
