Date,SPY,QQQ
2010-06-16,83.9001235961914,40.70613479614258
2010-06-17,84.0350341796875,40.83633041381836
2010-06-18,84.12613677978516,40.870235443115234
2010-06-21,83.8851547241211,40.52239990234375
2010-06-22,82.49979400634766,40.2093505859375
2010-06-23,82.2437744140625,40.044132232666016
2010-06-24,80.88094329833984,39.4354362487793
2010-06-25,81.21979522705078,39.44327926635742
2010-06-28,80.96375274658203,39.303855895996094
2010-06-29,78.4640121459961,37.787841796875
2010-06-30,77.71858978271484,37.212764739990234
2010-07-01,77.37222290039062,37.108219146728516
2010-07-02,76.95061492919922,37.003658294677734
2010-07-06,77.4551010131836,37.11692428588867
2010-07-07,79.89461517333984,38.3018798828125
2010-07-08,80.68516540527344,38.51097869873047
2010-07-09,81.28752136230469,38.87693786621094
2010-07-12,81.34022521972656,38.99018859863281
2010-07-13,82.56758880615234,39.495548248291016
2010-07-14,82.56001281738281,39.695945739746094
2010-07-15,82.58258056640625,39.73080062866211
2010-07-16,80.30873107910156,38.63297653198242
2010-07-19,80.78304290771484,38.964073181152344
2010-07-20,81.67906188964844,39.43456268310547
2010-07-21,80.61742401123047,38.89434814453125
2010-07-22,82.41693878173828,39.87891387939453
2010-07-23,83.13224792480469,40.131587982177734
2010-07-26,83.9981460571289,40.46268081665039
2010-07-27,83.99061584472656,40.44526290893555
2010-07-28,83.448486328125,40.12287139892578
2010-07-29,83.04190063476562,39.826637268066406
2010-07-30,83.02681732177734,39.91377639770508
2010-08-02,84.90164947509766,40.66307067871094
2010-08-03,84.49507904052734,40.48881912231445
2010-08-04,85.05976867675781,40.898319244384766
2010-08-05,84.96939849853516,40.8024787902832
2010-08-06,84.62310028076172,40.741493225097656
2010-08-09,85.07482147216797,41.02031707763672
2010-08-10,84.61552429199219,40.66307067871094
2010-08-11,82.29649353027344,39.55652618408203
2010-08-12,81.79198455810547,39.24287414550781
2010-08-13,81.55107879638672,38.964073181152344
2010-08-16,81.51341247558594,39.03376770019531
2010-08-17,82.51480102539062,39.53038024902344
2010-08-18,82.66544342041016,39.68722152709961
2010-08-19,81.22730255126953,39.08604049682617
2010-08-20,80.96375274658203,39.138328552246094
2010-08-23,80.65505981445312,38.754940032958984
2010-08-24,79.45790100097656,38.03178787231445
2010-08-25,79.76659393310547,38.3977165222168
2010-08-26,79.23201751708984,37.93593978881836
2010-08-27,80.45931243896484,38.3977165222168
2010-08-30,79.29224395751953,37.99693298339844
2010-08-31,79.29224395751953,37.86624526977539
2010-09-01,81.66400909423828,38.99891662597656
2010-09-02,82.42446899414062,39.43456268310547
2010-09-03,83.49364471435547,40.0880241394043
2010-09-07,82.55249786376953,39.817928314208984
2010-09-08,83.13224792480469,40.2971305847168
2010-09-09,83.51627349853516,40.45396423339844
2010-09-10,83.93789672851562,40.602088928222656
2010-09-13,84.87153625488281,41.16842269897461
2010-09-14,84.8188247680664,41.34267807006836
2010-09-15,85.1426010131836,41.604061126708984
2010-09-16,85.11998748779297,41.76961135864258
2010-09-17,85.15177154541016,41.911102294921875
2010-09-20,86.45381164550781,42.64469528198242
2010-09-21,86.2796859741211,42.63594436645508
2010-09-22,85.85577392578125,42.522422790527344
2010-09-23,85.15936279296875,42.50493621826172
2010-09-24,86.91554260253906,43.369544982910156
2010-09-27,86.49919891357422,43.133750915527344
2010-09-28,86.802001953125,43.11628341674805
2010-09-29,86.65061950683594,43.046409606933594
2010-09-30,86.39320373535156,42.85429000854492
2010-10-01,86.75658416748047,42.80188751220703
2010-10-04,86.10559844970703,42.339027404785156
2010-10-05,87.83905029296875,43.369544982910156
2010-10-06,87.83149719238281,42.9940071105957
2010-10-07,87.72551727294922,43.1512336730957
2010-10-08,88.2175521850586,43.44816589355469
2010-10-11,88.30081939697266,43.46561813354492
2010-10-12,88.57331085205078,43.762542724609375
2010-10-13,89.26215362548828,44.12062072753906
2010-10-14,88.91397094726562,44.03326416015625
2010-10-15,89.09562683105469,44.96774673461914
2010-10-18,89.5346450805664,44.80181121826172
2010-10-19,88.36136627197266,44.382606506347656
2010-10-20,89.22433471679688,44.70574188232422
2010-10-21,89.42108917236328,44.7930793762207
2010-10-22,89.58763885498047,45.09874725341797
2010-10-25,89.85262298583984,45.31708526611328
2010-10-26,89.86772918701172,45.439334869384766
2010-10-27,89.61039733886719,45.579071044921875
2010-10-28,89.62550354003906,45.67515182495117
2010-10-29,89.69363403320312,45.57033920288086
2010-11-01,89.72393035888672,45.60526657104492
2010-11-02,90.43545532226562,46.0943489074707
2010-11-03,90.79878997802734,46.30394744873047
2010-11-04,92.54742431640625,46.871604919433594
2010-11-05,92.89563751220703,46.871604919433594
2010-11-08,92.72152709960938,46.9327507019043
2010-11-09,92.05535888671875,46.67947769165039
2010-11-10,92.42628479003906,46.9152717590332
2010-11-11,92.07808685302734,46.61833572387695
2010-11-12,90.98807525634766,45.85854721069336
2010-11-15,90.8593521118164,45.68387985229492
2010-11-16,89.44385528564453,44.93281555175781
2010-11-17,89.4892578125,45.06380081176758
2010-11-18,90.80641174316406,45.78867721557617
2010-11-19,91.05618286132812,45.823604583740234
2010-11-22,90.9804916381836,46.207889556884766
2010-11-23,89.66338348388672,45.47425842285156
2010-11-24,90.98807525634766,46.39127731323242
2010-11-26,89.9283218383789,46.08560562133789
2010-11-29,90.20082092285156,46.05066680908203
2010-11-30,89.69363403320312,45.49173355102539
2010-12-01,91.6012191772461,46.45241928100586
2010-12-02,92.77452087402344,46.924007415771484
2010-12-03,93.02429962158203,47.04628372192383
2010-12-06,92.92591857910156,47.02879333496094
2010-12-07,92.97892761230469,47.05501174926758
2010-12-08,93.31951904296875,47.22967529296875
2010-12-09,93.682861328125,47.273345947265625
2010-12-10,94.22789001464844,47.58772277832031
2010-12-13,94.28843688964844,47.42180252075195
2010-12-14,94.37173461914062,47.50914001464844
2010-12-15,93.94024658203125,47.299530029296875
2010-12-16,94.48529815673828,47.666343688964844
2010-12-17,94.58647918701172,47.70832824707031
2010-12-20,94.81475830078125,47.74333953857422
2010-12-21,95.41590118408203,48.032108306884766
2010-12-22,95.71269989013672,48.02334976196289
2010-12-23,95.57571411132812,47.90085220336914
2010-12-27,95.61376953125,47.92710876464844
2010-12-28,95.75072479248047,47.83960723876953
2010-12-29,95.81924438476562,47.94461441040039
2010-12-30,95.66700744628906,47.83083724975586
2010-12-31,95.68988037109375,47.65583801269531
2011-01-03,96.67909240722656,48.39963912963867
2011-01-04,96.62582397460938,48.36463165283203
2011-01-05,97.1280517578125,48.77589797973633
2011-01-06,96.9378433227539,48.93341827392578
2011-01-07,96.74757385253906,48.889678955078125
2011-01-10,96.62582397460938,49.07343673706055
2011-01-11,96.96826171875,49.14345169067383
2011-01-12,97.84336853027344,49.49346923828125
2011-01-13,97.68356323242188,49.510986328125
2011-01-14,98.39124298095703,49.878509521484375
2011-01-18,98.55867004394531,50.018497467041016
